month,market,product,budget_revenue,budget_cost,budget_expense,budget_profit
2025-01,China,Robot Vacuum,33420138.89,15039062.5,6015625.0,12365451.39
2025-01,China,Wet-Dry Vacuum,10937500.0,5250000.0,1968750.0,3718750.0
2025-01,China,Stick Vacuum,6076388.89,3038194.44,1093750.0,1944444.44
2025-01,China,Washer-Dryer,4861111.11,2527777.78,875000.0,1458333.33
2025-01,China,Other Smart Home,5468750.0,2625000.0,984375.0,1859375.0
2025-01,United States,Robot Vacuum,12031250.0,5414062.5,2165625.0,4451562.5
2025-01,United States,Wet-Dry Vacuum,3937500.0,1890000.0,708750.0,1338750.0
2025-01,United States,Stick Vacuum,2187500.0,1093750.0,393750.0,700000.0
2025-01,United States,Washer-Dryer,1750000.0,910000.0,315000.0,525000.0
2025-01,United States,Other Smart Home,1968750.0,945000.0,354375.0,669375.0
2025-01,Germany,Robot Vacuum,5347222.22,2406250.0,962500.0,1978472.22
2025-01,Germany,Wet-Dry Vacuum,1750000.0,840000.0,315000.0,595000.0
2025-01,Germany,Stick Vacuum,972222.22,486111.11,175000.0,311111.11
2025-01,Germany,Washer-Dryer,777777.78,404444.44,140000.0,233333.33
2025-01,Germany,Other Smart Home,875000.0,420000.0,157500.0,297500.0
2025-01,United Kingdom,Robot Vacuum,3342013.89,1503906.25,601562.5,1236545.14
2025-01,United Kingdom,Wet-Dry Vacuum,1093750.0,525000.0,196875.0,371875.0
2025-01,United Kingdom,Stick Vacuum,607638.89,303819.44,109375.0,194444.44
2025-01,United Kingdom,Washer-Dryer,486111.11,252777.78,87500.0,145833.33
2025-01,United Kingdom,Other Smart Home,546875.0,262500.0,98437.5,185937.5
2025-01,Japan,Robot Vacuum,4678819.44,2105468.75,842187.5,1731163.19
2025-01,Japan,Wet-Dry Vacuum,1531250.0,735000.0,275625.0,520625.0
2025-01,Japan,Stick Vacuum,850694.44,425347.22,153125.0,272222.22
2025-01,Japan,Washer-Dryer,680555.56,353888.89,122500.0,204166.67
2025-01,Japan,Other Smart Home,765625.0,367500.0,137812.5,260312.5
2025-01,Rest of Europe,Robot Vacuum,4678819.44,2105468.75,842187.5,1731163.19
2025-01,Rest of Europe,Wet-Dry Vacuum,1531250.0,735000.0,275625.0,520625.0
2025-01,Rest of Europe,Stick Vacuum,850694.44,425347.22,153125.0,272222.22
2025-01,Rest of Europe,Washer-Dryer,680555.56,353888.89,122500.0,204166.67
2025-01,Rest of Europe,Other Smart Home,765625.0,367500.0,137812.5,260312.5
2025-01,Rest of Asia,Robot Vacuum,3342013.89,1503906.25,601562.5,1236545.14
2025-01,Rest of Asia,Wet-Dry Vacuum,1093750.0,525000.0,196875.0,371875.0
2025-01,Rest of Asia,Stick Vacuum,607638.89,303819.44,109375.0,194444.44
2025-01,Rest of Asia,Washer-Dryer,486111.11,252777.78,87500.0,145833.33
2025-01,Rest of Asia,Other Smart Home,546875.0,262500.0,98437.5,185937.5
2025-02,China,Robot Vacuum,33811653.04,15215243.87,6086097.55,12510311.62
2025-02,China,Wet-Dry Vacuum,11065631.9,5311503.31,1991813.74,3762314.85
2025-02,China,Stick Vacuum,6147573.28,3073786.64,1106563.19,1967223.45
2025-02,China,Washer-Dryer,4918058.62,2557390.48,885250.55,1475417.59
2025-02,China,Other Smart Home,5532815.95,2655751.66,995906.87,1881157.42
2025-02,United States,Robot Vacuum,12172195.09,5477487.79,2190995.12,4503712.18
2025-02,United States,Wet-Dry Vacuum,3983627.49,1912141.19,717052.95,1354433.35
2025-02,United States,Stick Vacuum,2213126.38,1106563.19,398362.75,708200.44
2025-02,United States,Washer-Dryer,1770501.1,920660.57,318690.2,531150.33
2025-02,United States,Other Smart Home,1991813.74,956070.6,358526.47,677216.67
2025-02,Germany,Robot Vacuum,5409864.49,2434439.02,973775.61,2001649.86
2025-02,Germany,Wet-Dry Vacuum,1770501.1,849840.53,318690.2,601970.38
2025-02,Germany,Stick Vacuum,983611.72,491805.86,177050.11,314755.75
2025-02,Germany,Washer-Dryer,786889.38,409182.48,141640.09,236066.81
2025-02,Germany,Other Smart Home,885250.55,424920.27,159345.1,300985.19
2025-02,United Kingdom,Robot Vacuum,3381165.3,1521524.39,608609.75,1251031.16
2025-02,United Kingdom,Wet-Dry Vacuum,1106563.19,531150.33,199181.37,376231.48
2025-02,United Kingdom,Stick Vacuum,614757.33,307378.66,110656.32,196722.34
2025-02,United Kingdom,Washer-Dryer,491805.86,255739.05,88525.06,147541.76
2025-02,United Kingdom,Other Smart Home,553281.6,265575.17,99590.69,188115.74
2025-02,Japan,Robot Vacuum,4733631.43,2130134.14,852053.66,1751443.63
2025-02,Japan,Wet-Dry Vacuum,1549188.47,743610.46,278853.92,526724.08
2025-02,Japan,Stick Vacuum,860660.26,430330.13,154918.85,275411.28
2025-02,Japan,Washer-Dryer,688528.21,358034.67,123935.08,206558.46
2025-02,Japan,Other Smart Home,774594.23,371805.23,139426.96,263362.04
2025-02,Rest of Europe,Robot Vacuum,4733631.43,2130134.14,852053.66,1751443.63
2025-02,Rest of Europe,Wet-Dry Vacuum,1549188.47,743610.46,278853.92,526724.08
2025-02,Rest of Europe,Stick Vacuum,860660.26,430330.13,154918.85,275411.28
2025-02,Rest of Europe,Washer-Dryer,688528.21,358034.67,123935.08,206558.46
2025-02,Rest of Europe,Other Smart Home,774594.23,371805.23,139426.96,263362.04
2025-02,Rest of Asia,Robot Vacuum,3381165.3,1521524.39,608609.75,1251031.16
2025-02,Rest of Asia,Wet-Dry Vacuum,1106563.19,531150.33,199181.37,376231.48
2025-02,Rest of Asia,Stick Vacuum,614757.33,307378.66,110656.32,196722.34
2025-02,Rest of Asia,Washer-Dryer,491805.86,255739.05,88525.06,147541.76
2025-02,Rest of Asia,Other Smart Home,553281.6,265575.17,99590.69,188115.74
2025-03,China,Robot Vacuum,34207753.75,15393489.19,6157395.67,12656868.89
2025-03,China,Wet-Dry Vacuum,11195264.86,5373727.13,2015147.68,3806390.05
2025-03,China,Stick Vacuum,6219591.59,3109795.8,1119526.49,1990269.31
2025-03,China,Washer-Dryer,4975673.27,2587350.1,895621.19,1492701.98
2025-03,China,Other Smart Home,5597632.43,2686863.57,1007573.84,1903195.03
2025-03,United States,Robot Vacuum,12314791.35,5541656.11,2216662.44,4556472.8
2025-03,United States,Wet-Dry Vacuum,4030295.35,1934541.77,725453.16,1370300.42
2025-03,United States,Stick Vacuum,2239052.97,1119526.49,403029.54,716496.95
2025-03,United States,Washer-Dryer,1791242.38,931446.04,322423.63,537372.71
2025-03,United States,Other Smart Home,2015147.68,967270.88,362726.58,685150.21
2025-03,Germany,Robot Vacuum,5473240.6,2462958.27,985183.31,2025099.02
2025-03,Germany,Wet-Dry Vacuum,1791242.38,859796.34,322423.63,609022.41
2025-03,Germany,Stick Vacuum,995134.65,497567.33,179124.24,318443.09
2025-03,Germany,Washer-Dryer,796107.72,413976.02,143299.39,238832.32
2025-03,Germany,Other Smart Home,895621.19,429898.17,161211.81,304511.2
2025-03,United Kingdom,Robot Vacuum,3420775.37,1539348.92,615739.57,1265686.89
2025-03,United Kingdom,Wet-Dry Vacuum,1119526.49,537372.71,201514.77,380639.01
2025-03,United Kingdom,Stick Vacuum,621959.16,310979.58,111952.65,199026.93
2025-03,United Kingdom,Washer-Dryer,497567.33,258735.01,89562.12,149270.2
2025-03,United Kingdom,Other Smart Home,559763.24,268686.36,100757.38,190319.5
